11490 -> 1, Probabilidad: 1/1000
13250 -> 1, Probabilidad: 1/1000
13230 -> 2, Probabilidad: 2/1000
13540 -> 2, Probabilidad: 2/1000
13480 -> 1, Probabilidad: 1/1000
13580 -> 1, Probabilidad: 1/1000
13410 -> 1, Probabilidad: 1/1000
13320 -> 1, Probabilidad: 1/1000
13520 -> 1, Probabilidad: 1/1000
13620 -> 1, Probabilidad: 1/1000
13600 -> 2, Probabilidad: 2/1000
13500 -> 2, Probabilidad: 2/1000
13870 -> 1, Probabilidad: 1/1000
13810 -> 2, Probabilidad: 2/1000
13830 -> 2, Probabilidad: 2/1000
13670 -> 2, Probabilidad: 2/1000
13690 -> 1, Probabilidad: 1/1000
13780 -> 1, Probabilidad: 1/1000
13800 -> 2, Probabilidad: 2/1000
13750 -> 1, Probabilidad: 1/1000
13570 -> 1, Probabilidad: 1/1000
13380 -> 1, Probabilidad: 1/1000
13590 -> 1, Probabilidad: 1/1000
13360 -> 1, Probabilidad: 1/1000
13790 -> 1, Probabilidad: 1/1000
13650 -> 1, Probabilidad: 1/1000
14070 -> 1, Probabilidad: 1/1000
14000 -> 1, Probabilidad: 1/1000
14140 -> 1, Probabilidad: 1/1000
14310 -> 1, Probabilidad: 1/1000
14460 -> 1, Probabilidad: 1/1000
14820 -> 1, Probabilidad: 1/1000
15040 -> 1, Probabilidad: 1/1000
15230 -> 1, Probabilidad: 1/1000
15750 -> 2, Probabilidad: 2/1000
15630 -> 1, Probabilidad: 1/1000
15410 -> 1, Probabilidad: 1/1000
15680 -> 2, Probabilidad: 2/1000
15470 -> 2, Probabilidad: 2/1000
15520 -> 1, Probabilidad: 1/1000
15550 -> 2, Probabilidad: 2/1000
15480 -> 1, Probabilidad: 1/1000
15500 -> 1, Probabilidad: 1/1000
15210 -> 1, Probabilidad: 1/1000
14810 -> 1, Probabilidad: 1/1000
15050 -> 2, Probabilidad: 2/1000
15020 -> 1, Probabilidad: 1/1000
15200 -> 1, Probabilidad: 1/1000
15570 -> 1, Probabilidad: 1/1000
15320 -> 1, Probabilidad: 1/1000
15510 -> 1, Probabilidad: 1/1000
15400 -> 1, Probabilidad: 1/1000
15270 -> 1, Probabilidad: 1/1000
15220 -> 1, Probabilidad: 1/1000
15370 -> 3, Probabilidad: 3/1000
15380 -> 2, Probabilidad: 2/1000
15360 -> 1, Probabilidad: 1/1000
15310 -> 1, Probabilidad: 1/1000
15300 -> 1, Probabilidad: 1/1000
15430 -> 2, Probabilidad: 2/1000
15870 -> 1, Probabilidad: 1/1000
15820 -> 1, Probabilidad: 1/1000
15640 -> 1, Probabilidad: 1/1000
16040 -> 2, Probabilidad: 2/1000
16000 -> 1, Probabilidad: 1/1000
15950 -> 1, Probabilidad: 1/1000
16150 -> 2, Probabilidad: 2/1000
16440 -> 1, Probabilidad: 1/1000
16230 -> 2, Probabilidad: 2/1000
16310 -> 2, Probabilidad: 2/1000
16260 -> 2, Probabilidad: 2/1000
16190 -> 1, Probabilidad: 1/1000
15780 -> 1, Probabilidad: 1/1000
15920 -> 1, Probabilidad: 1/1000
15900 -> 1, Probabilidad: 1/1000
15980 -> 1, Probabilidad: 1/1000
15970 -> 1, Probabilidad: 1/1000
16010 -> 1, Probabilidad: 1/1000
16060 -> 1, Probabilidad: 1/1000
15880 -> 1, Probabilidad: 1/1000
15830 -> 1, Probabilidad: 1/1000
15940 -> 1, Probabilidad: 1/1000
16100 -> 1, Probabilidad: 1/1000
16220 -> 1, Probabilidad: 1/1000
16670 -> 1, Probabilidad: 1/1000
16690 -> 3, Probabilidad: 3/1000
16610 -> 1, Probabilidad: 1/1000
16640 -> 1, Probabilidad: 1/1000
16940 -> 1, Probabilidad: 1/1000
17810 -> 1, Probabilidad: 1/1000
17620 -> 2, Probabilidad: 2/1000
17740 -> 2, Probabilidad: 2/1000
18100 -> 1, Probabilidad: 1/1000
17880 -> 2, Probabilidad: 2/1000
17890 -> 1, Probabilidad: 1/1000
17770 -> 1, Probabilidad: 1/1000
17850 -> 1, Probabilidad: 1/1000
17900 -> 1, Probabilidad: 1/1000
17420 -> 1, Probabilidad: 1/1000
18000 -> 1, Probabilidad: 1/1000
17970 -> 2, Probabilidad: 2/1000
17930 -> 1, Probabilidad: 1/1000
17960 -> 1, Probabilidad: 1/1000
18120 -> 1, Probabilidad: 1/1000
18180 -> 3, Probabilidad: 3/1000
18240 -> 1, Probabilidad: 1/1000
18690 -> 1, Probabilidad: 1/1000
18560 -> 1, Probabilidad: 1/1000
18820 -> 1, Probabilidad: 1/1000
18640 -> 5, Probabilidad: 5/1000
18600 -> 2, Probabilidad: 2/1000
18790 -> 3, Probabilidad: 3/1000
18750 -> 1, Probabilidad: 1/1000
18450 -> 1, Probabilidad: 1/1000
18500 -> 2, Probabilidad: 2/1000
18350 -> 2, Probabilidad: 2/1000
18190 -> 2, Probabilidad: 2/1000
18470 -> 5, Probabilidad: 5/1000
18570 -> 1, Probabilidad: 1/1000
18210 -> 1, Probabilidad: 1/1000
18440 -> 1, Probabilidad: 1/1000
18340 -> 1, Probabilidad: 1/1000
18410 -> 3, Probabilidad: 3/1000
18330 -> 1, Probabilidad: 1/1000
18970 -> 3, Probabilidad: 3/1000
19180 -> 1, Probabilidad: 1/1000
19190 -> 3, Probabilidad: 3/1000
18920 -> 1, Probabilidad: 1/1000
19090 -> 1, Probabilidad: 1/1000
18880 -> 1, Probabilidad: 1/1000
19160 -> 5, Probabilidad: 5/1000
19200 -> 2, Probabilidad: 2/1000
19060 -> 3, Probabilidad: 3/1000
18860 -> 1, Probabilidad: 1/1000
17910 -> 1, Probabilidad: 1/1000
17040 -> 1, Probabilidad: 1/1000
17050 -> 1, Probabilidad: 1/1000
17030 -> 1, Probabilidad: 1/1000
17310 -> 1, Probabilidad: 1/1000
17250 -> 1, Probabilidad: 1/1000
16630 -> 1, Probabilidad: 1/1000
16920 -> 1, Probabilidad: 1/1000
16720 -> 1, Probabilidad: 1/1000
16980 -> 1, Probabilidad: 1/1000
17120 -> 1, Probabilidad: 1/1000
16970 -> 1, Probabilidad: 1/1000
16900 -> 1, Probabilidad: 1/1000
17350 -> 1, Probabilidad: 1/1000
17730 -> 1, Probabilidad: 1/1000
17570 -> 1, Probabilidad: 1/1000
17790 -> 1, Probabilidad: 1/1000
18090 -> 2, Probabilidad: 2/1000
18080 -> 1, Probabilidad: 1/1000
18250 -> 1, Probabilidad: 1/1000
18480 -> 1, Probabilidad: 1/1000
18520 -> 1, Probabilidad: 1/1000
19370 -> 1, Probabilidad: 1/1000
19360 -> 3, Probabilidad: 3/1000
19590 -> 1, Probabilidad: 1/1000
19470 -> 1, Probabilidad: 1/1000
19560 -> 1, Probabilidad: 1/1000
18770 -> 2, Probabilidad: 2/1000
19040 -> 2, Probabilidad: 2/1000
18840 -> 2, Probabilidad: 2/1000
19010 -> 2, Probabilidad: 2/1000
19110 -> 4, Probabilidad: 4/1000
19130 -> 1, Probabilidad: 1/1000
18910 -> 1, Probabilidad: 1/1000
19350 -> 1, Probabilidad: 1/1000
19280 -> 2, Probabilidad: 2/1000
19290 -> 1, Probabilidad: 1/1000
19430 -> 2, Probabilidad: 2/1000
19320 -> 1, Probabilidad: 1/1000
19000 -> 1, Probabilidad: 1/1000
18950 -> 2, Probabilidad: 2/1000
18800 -> 1, Probabilidad: 1/1000
19100 -> 1, Probabilidad: 1/1000
18990 -> 1, Probabilidad: 1/1000
19240 -> 3, Probabilidad: 3/1000
19140 -> 1, Probabilidad: 1/1000
19030 -> 1, Probabilidad: 1/1000
18940 -> 1, Probabilidad: 1/1000
19120 -> 1, Probabilidad: 1/1000
19220 -> 1, Probabilidad: 1/1000
19230 -> 1, Probabilidad: 1/1000
19170 -> 3, Probabilidad: 3/1000
19150 -> 1, Probabilidad: 1/1000
19050 -> 1, Probabilidad: 1/1000
19270 -> 1, Probabilidad: 1/1000
18900 -> 2, Probabilidad: 2/1000
18740 -> 1, Probabilidad: 1/1000
18010 -> 1, Probabilidad: 1/1000
18280 -> 1, Probabilidad: 1/1000
18220 -> 1, Probabilidad: 1/1000
18200 -> 1, Probabilidad: 1/1000
18320 -> 1, Probabilidad: 1/1000
17870 -> 1, Probabilidad: 1/1000
17780 -> 1, Probabilidad: 1/1000
17950 -> 1, Probabilidad: 1/1000
18070 -> 1, Probabilidad: 1/1000
18270 -> 1, Probabilidad: 1/1000
18300 -> 1, Probabilidad: 1/1000
18380 -> 1, Probabilidad: 1/1000
18780 -> 1, Probabilidad: 1/1000
19300 -> 1, Probabilidad: 1/1000
19330 -> 1, Probabilidad: 1/1000
19390 -> 2, Probabilidad: 2/1000
19380 -> 1, Probabilidad: 1/1000
19490 -> 1, Probabilidad: 1/1000
20330 -> 1, Probabilidad: 1/1000
20640 -> 1, Probabilidad: 1/1000
21190 -> 1, Probabilidad: 1/1000
21720 -> 1, Probabilidad: 1/1000
22270 -> 1, Probabilidad: 1/1000
22630 -> 1, Probabilidad: 1/1000
22830 -> 1, Probabilidad: 1/1000
23080 -> 1, Probabilidad: 1/1000
22760 -> 1, Probabilidad: 1/1000
22980 -> 1, Probabilidad: 1/1000
22940 -> 1, Probabilidad: 1/1000
23180 -> 3, Probabilidad: 3/1000
22550 -> 1, Probabilidad: 1/1000
22740 -> 2, Probabilidad: 2/1000
22870 -> 1, Probabilidad: 1/1000
23050 -> 1, Probabilidad: 1/1000
22950 -> 1, Probabilidad: 1/1000
22970 -> 1, Probabilidad: 1/1000
23910 -> 1, Probabilidad: 1/1000
23950 -> 1, Probabilidad: 1/1000
23490 -> 2, Probabilidad: 2/1000
23480 -> 1, Probabilidad: 1/1000
23570 -> 3, Probabilidad: 3/1000
23550 -> 1, Probabilidad: 1/1000
23720 -> 1, Probabilidad: 1/1000
23390 -> 1, Probabilidad: 1/1000
23660 -> 1, Probabilidad: 1/1000
23890 -> 1, Probabilidad: 1/1000
23430 -> 1, Probabilidad: 1/1000
22800 -> 1, Probabilidad: 1/1000
22700 -> 1, Probabilidad: 1/1000
23120 -> 1, Probabilidad: 1/1000
22660 -> 1, Probabilidad: 1/1000
22750 -> 1, Probabilidad: 1/1000
23460 -> 1, Probabilidad: 1/1000
23310 -> 1, Probabilidad: 1/1000
23420 -> 1, Probabilidad: 1/1000
23670 -> 1, Probabilidad: 1/1000
23600 -> 1, Probabilidad: 1/1000
23580 -> 2, Probabilidad: 2/1000
23270 -> 1, Probabilidad: 1/1000
23040 -> 1, Probabilidad: 1/1000
23320 -> 1, Probabilidad: 1/1000
23360 -> 2, Probabilidad: 2/1000
23380 -> 1, Probabilidad: 1/1000
23900 -> 1, Probabilidad: 1/1000
24470 -> 1, Probabilidad: 1/1000
24160 -> 1, Probabilidad: 1/1000
24390 -> 1, Probabilidad: 1/1000
24870 -> 1, Probabilidad: 1/1000
24690 -> 1, Probabilidad: 1/1000
24830 -> 1, Probabilidad: 1/1000
24910 -> 1, Probabilidad: 1/1000
25750 -> 1, Probabilidad: 1/1000
26660 -> 1, Probabilidad: 1/1000
26600 -> 1, Probabilidad: 1/1000
26860 -> 1, Probabilidad: 1/1000
27770 -> 1, Probabilidad: 1/1000
27480 -> 1, Probabilidad: 1/1000
26730 -> 1, Probabilidad: 1/1000
26350 -> 1, Probabilidad: 1/1000
27010 -> 1, Probabilidad: 1/1000
26900 -> 1, Probabilidad: 1/1000
26780 -> 1, Probabilidad: 1/1000
27190 -> 1, Probabilidad: 1/1000
27100 -> 1, Probabilidad: 1/1000
26570 -> 1, Probabilidad: 1/1000
26770 -> 1, Probabilidad: 1/1000
26380 -> 1, Probabilidad: 1/1000
26540 -> 1, Probabilidad: 1/1000
26830 -> 1, Probabilidad: 1/1000
26580 -> 1, Probabilidad: 1/1000
26870 -> 1, Probabilidad: 1/1000
27570 -> 1, Probabilidad: 1/1000
27980 -> 1, Probabilidad: 1/1000
27830 -> 2, Probabilidad: 2/1000
28220 -> 1, Probabilidad: 1/1000
28890 -> 1, Probabilidad: 1/1000
28740 -> 1, Probabilidad: 1/1000
28960 -> 1, Probabilidad: 1/1000
28970 -> 1, Probabilidad: 1/1000
28530 -> 1, Probabilidad: 1/1000
28560 -> 1, Probabilidad: 1/1000
29220 -> 1, Probabilidad: 1/1000
29430 -> 1, Probabilidad: 1/1000
29650 -> 1, Probabilidad: 1/1000
29660 -> 1, Probabilidad: 1/1000
31560 -> 1, Probabilidad: 1/1000
32920 -> 1, Probabilidad: 1/1000
31650 -> 1, Probabilidad: 1/1000
32590 -> 1, Probabilidad: 1/1000
33720 -> 1, Probabilidad: 1/1000
34190 -> 1, Probabilidad: 1/1000
33900 -> 1, Probabilidad: 1/1000
32900 -> 1, Probabilidad: 1/1000
33570 -> 1, Probabilidad: 1/1000
33210 -> 1, Probabilidad: 1/1000
32880 -> 1, Probabilidad: 1/1000
30980 -> 2, Probabilidad: 2/1000
31400 -> 1, Probabilidad: 1/1000
31000 -> 1, Probabilidad: 1/1000
31020 -> 1, Probabilidad: 1/1000
32790 -> 2, Probabilidad: 2/1000
30430 -> 1, Probabilidad: 1/1000
31570 -> 1, Probabilidad: 1/1000
31480 -> 1, Probabilidad: 1/1000
33760 -> 2, Probabilidad: 2/1000
33850 -> 1, Probabilidad: 1/1000
35090 -> 1, Probabilidad: 1/1000
33970 -> 3, Probabilidad: 3/1000
34640 -> 1, Probabilidad: 1/1000
34980 -> 1, Probabilidad: 1/1000
35920 -> 2, Probabilidad: 2/1000
36960 -> 1, Probabilidad: 1/1000
37470 -> 1, Probabilidad: 1/1000
37520 -> 2, Probabilidad: 2/1000
38210 -> 2, Probabilidad: 2/1000
39760 -> 1, Probabilidad: 1/1000
39720 -> 1, Probabilidad: 1/1000
38680 -> 2, Probabilidad: 2/1000
37970 -> 1, Probabilidad: 1/1000
39360 -> 2, Probabilidad: 2/1000
41330 -> 1, Probabilidad: 1/1000
41010 -> 1, Probabilidad: 1/1000
40050 -> 1, Probabilidad: 1/1000
40230 -> 2, Probabilidad: 2/1000
39340 -> 1, Probabilidad: 1/1000
40370 -> 1, Probabilidad: 1/1000
41100 -> 1, Probabilidad: 1/1000
40510 -> 1, Probabilidad: 1/1000
40850 -> 1, Probabilidad: 1/1000
41220 -> 1, Probabilidad: 1/1000
40540 -> 1, Probabilidad: 1/1000
40830 -> 1, Probabilidad: 1/1000
39850 -> 1, Probabilidad: 1/1000
38630 -> 1, Probabilidad: 1/1000
38010 -> 1, Probabilidad: 1/1000
37200 -> 1, Probabilidad: 1/1000
34820 -> 3, Probabilidad: 3/1000
35710 -> 1, Probabilidad: 1/1000
32720 -> 1, Probabilidad: 1/1000
32780 -> 1, Probabilidad: 1/1000
34250 -> 1, Probabilidad: 1/1000
35840 -> 1, Probabilidad: 1/1000
35890 -> 1, Probabilidad: 1/1000
33220 -> 2, Probabilidad: 2/1000
34950 -> 1, Probabilidad: 1/1000
34660 -> 1, Probabilidad: 1/1000
33080 -> 1, Probabilidad: 1/1000
33250 -> 1, Probabilidad: 1/1000
34300 -> 1, Probabilidad: 1/1000
34520 -> 1, Probabilidad: 1/1000
34770 -> 1, Probabilidad: 1/1000
37240 -> 1, Probabilidad: 1/1000
37420 -> 2, Probabilidad: 2/1000
37910 -> 2, Probabilidad: 2/1000
38980 -> 1, Probabilidad: 1/1000
38720 -> 1, Probabilidad: 1/1000
39080 -> 1, Probabilidad: 1/1000
37760 -> 1, Probabilidad: 1/1000
38620 -> 1, Probabilidad: 1/1000
37620 -> 2, Probabilidad: 2/1000
35940 -> 1, Probabilidad: 1/1000
36230 -> 1, Probabilidad: 1/1000
37010 -> 1, Probabilidad: 1/1000
35850 -> 1, Probabilidad: 1/1000
37130 -> 1, Probabilidad: 1/1000
36880 -> 1, Probabilidad: 1/1000
36680 -> 1, Probabilidad: 1/1000
35530 -> 1, Probabilidad: 1/1000
34130 -> 1, Probabilidad: 1/1000
35800 -> 1, Probabilidad: 1/1000
36550 -> 1, Probabilidad: 1/1000
36080 -> 1, Probabilidad: 1/1000
35330 -> 1, Probabilidad: 1/1000
36520 -> 1, Probabilidad: 1/1000
36760 -> 1, Probabilidad: 1/1000
35670 -> 1, Probabilidad: 1/1000
36210 -> 1, Probabilidad: 1/1000
36900 -> 1, Probabilidad: 1/1000
36280 -> 1, Probabilidad: 1/1000
37070 -> 2, Probabilidad: 2/1000
37110 -> 1, Probabilidad: 1/1000
37160 -> 1, Probabilidad: 1/1000
36460 -> 1, Probabilidad: 1/1000
36120 -> 1, Probabilidad: 1/1000
35470 -> 1, Probabilidad: 1/1000
34790 -> 1, Probabilidad: 1/1000
34940 -> 1, Probabilidad: 1/1000
34880 -> 1, Probabilidad: 1/1000
34760 -> 1, Probabilidad: 1/1000
34540 -> 1, Probabilidad: 1/1000
32860 -> 1, Probabilidad: 1/1000
32260 -> 1, Probabilidad: 1/1000
31850 -> 1, Probabilidad: 1/1000
31190 -> 1, Probabilidad: 1/1000
30030 -> 1, Probabilidad: 1/1000
31800 -> 1, Probabilidad: 1/1000
31380 -> 1, Probabilidad: 1/1000
32160 -> 1, Probabilidad: 1/1000
32330 -> 1, Probabilidad: 1/1000
33300 -> 2, Probabilidad: 2/1000
32710 -> 1, Probabilidad: 1/1000
33360 -> 1, Probabilidad: 1/1000
32480 -> 1, Probabilidad: 1/1000
31870 -> 1, Probabilidad: 1/1000
32250 -> 1, Probabilidad: 1/1000
32340 -> 1, Probabilidad: 1/1000
31890 -> 2, Probabilidad: 2/1000
32840 -> 1, Probabilidad: 1/1000
32650 -> 1, Probabilidad: 1/1000
32240 -> 1, Probabilidad: 1/1000
31880 -> 1, Probabilidad: 1/1000
32850 -> 1, Probabilidad: 1/1000
33330 -> 1, Probabilidad: 1/1000
32980 -> 1, Probabilidad: 1/1000
34550 -> 1, Probabilidad: 1/1000
33750 -> 1, Probabilidad: 1/1000
32610 -> 1, Probabilidad: 1/1000
32730 -> 1, Probabilidad: 1/1000
32070 -> 1, Probabilidad: 1/1000
31810 -> 1, Probabilidad: 1/1000
31730 -> 1, Probabilidad: 1/1000
32200 -> 1, Probabilidad: 1/1000
31990 -> 1, Probabilidad: 1/1000
32110 -> 1, Probabilidad: 1/1000
31530 -> 1, Probabilidad: 1/1000
31230 -> 1, Probabilidad: 1/1000
30290 -> 1, Probabilidad: 1/1000
30540 -> 1, Probabilidad: 1/1000
30920 -> 1, Probabilidad: 1/1000
31760 -> 1, Probabilidad: 1/1000
31470 -> 1, Probabilidad: 1/1000
31770 -> 1, Probabilidad: 1/1000
32310 -> 1, Probabilidad: 1/1000
33030 -> 1, Probabilidad: 1/1000
36970 -> 1, Probabilidad: 1/1000
38350 -> 1, Probabilidad: 1/1000
35700 -> 1, Probabilidad: 1/1000
34600 -> 1, Probabilidad: 1/1000
34100 -> 1, Probabilidad: 1/1000
33480 -> 1, Probabilidad: 1/1000
34240 -> 3, Probabilidad: 3/1000
34670 -> 1, Probabilidad: 1/1000
34210 -> 1, Probabilidad: 1/1000
33670 -> 1, Probabilidad: 1/1000
32290 -> 1, Probabilidad: 1/1000
32630 -> 1, Probabilidad: 1/1000
33430 -> 1, Probabilidad: 1/1000
33770 -> 1, Probabilidad: 1/1000
34350 -> 1, Probabilidad: 1/1000
33680 -> 1, Probabilidad: 1/1000
33990 -> 1, Probabilidad: 1/1000
33640 -> 1, Probabilidad: 1/1000
33740 -> 1, Probabilidad: 1/1000
34000 -> 1, Probabilidad: 1/1000
35320 -> 1, Probabilidad: 1/1000
34840 -> 1, Probabilidad: 1/1000
34860 -> 1, Probabilidad: 1/1000
35660 -> 1, Probabilidad: 1/1000
35880 -> 2, Probabilidad: 2/1000
36500 -> 1, Probabilidad: 1/1000
36580 -> 1, Probabilidad: 1/1000
37220 -> 1, Probabilidad: 1/1000
37270 -> 1, Probabilidad: 1/1000
37540 -> 1, Probabilidad: 1/1000
37610 -> 1, Probabilidad: 1/1000
36910 -> 1, Probabilidad: 1/1000
37660 -> 1, Probabilidad: 1/1000
36640 -> 1, Probabilidad: 1/1000
37290 -> 1, Probabilidad: 1/1000
38320 -> 1, Probabilidad: 1/1000
37830 -> 1, Probabilidad: 1/1000
38830 -> 1, Probabilidad: 1/1000
39030 -> 1, Probabilidad: 1/1000
39900 -> 1, Probabilidad: 1/1000
40140 -> 1, Probabilidad: 1/1000
40070 -> 1, Probabilidad: 1/1000
38640 -> 1, Probabilidad: 1/1000
38530 -> 1, Probabilidad: 1/1000
39530 -> 1, Probabilidad: 1/1000
38670 -> 1, Probabilidad: 1/1000
37890 -> 1, Probabilidad: 1/1000
38540 -> 1, Probabilidad: 1/1000
38550 -> 1, Probabilidad: 1/1000
38970 -> 1, Probabilidad: 1/1000
43180 -> 1, Probabilidad: 1/1000
43110 -> 1, Probabilidad: 1/1000
44660 -> 2, Probabilidad: 2/1000
46140 -> 2, Probabilidad: 2/1000
46910 -> 1, Probabilidad: 1/1000
46440 -> 2, Probabilidad: 2/1000
46270 -> 1, Probabilidad: 1/1000
46530 -> 1, Probabilidad: 1/1000
47220 -> 2, Probabilidad: 2/1000
46290 -> 1, Probabilidad: 1/1000
46630 -> 2, Probabilidad: 2/1000
45680 -> 1, Probabilidad: 1/1000
45010 -> 1, Probabilidad: 1/1000
44930 -> 1, Probabilidad: 1/1000
44200 -> 1, Probabilidad: 1/1000
45520 -> 1, Probabilidad: 1/1000
47510 -> 2, Probabilidad: 2/1000
47380 -> 1, Probabilidad: 1/1000
46880 -> 1, Probabilidad: 1/1000
48450 -> 3, Probabilidad: 3/1000
47270 -> 1, Probabilidad: 1/1000
47360 -> 1, Probabilidad: 1/1000
47880 -> 2, Probabilidad: 2/1000
47760 -> 1, Probabilidad: 1/1000
47910 -> 1, Probabilidad: 1/1000
47680 -> 1, Probabilidad: 1/1000
47930 -> 1, Probabilidad: 1/1000
46980 -> 1, Probabilidad: 1/1000
46850 -> 1, Probabilidad: 1/1000
47140 -> 1, Probabilidad: 1/1000
47490 -> 1, Probabilidad: 1/1000
48860 -> 2, Probabilidad: 2/1000
49120 -> 1, Probabilidad: 1/1000
48750 -> 1, Probabilidad: 1/1000
48620 -> 1, Probabilidad: 1/1000
48810 -> 2, Probabilidad: 2/1000
48050 -> 3, Probabilidad: 3/1000
46750 -> 1, Probabilidad: 1/1000
47960 -> 1, Probabilidad: 1/1000
48530 -> 1, Probabilidad: 1/1000
48160 -> 1, Probabilidad: 1/1000
48270 -> 1, Probabilidad: 1/1000
49130 -> 1, Probabilidad: 1/1000
49250 -> 2, Probabilidad: 2/1000
48230 -> 1, Probabilidad: 1/1000
48540 -> 1, Probabilidad: 1/1000
49700 -> 1, Probabilidad: 1/1000
51460 -> 1, Probabilidad: 1/1000
51110 -> 1, Probabilidad: 1/1000
51350 -> 2, Probabilidad: 2/1000
52340 -> 1, Probabilidad: 1/1000
52120 -> 1, Probabilidad: 1/1000
52170 -> 1, Probabilidad: 1/1000
51760 -> 1, Probabilidad: 1/1000
51780 -> 1, Probabilidad: 1/1000
51810 -> 1, Probabilidad: 1/1000
51990 -> 1, Probabilidad: 1/1000
51260 -> 1, Probabilidad: 1/1000
51450 -> 2, Probabilidad: 2/1000
52610 -> 1, Probabilidad: 1/1000
52750 -> 1, Probabilidad: 1/1000
54760 -> 1, Probabilidad: 1/1000
55600 -> 1, Probabilidad: 1/1000
56160 -> 2, Probabilidad: 2/1000
55640 -> 1, Probabilidad: 1/1000
55230 -> 1, Probabilidad: 1/1000
57250 -> 1, Probabilidad: 1/1000
57050 -> 1, Probabilidad: 1/1000
56490 -> 1, Probabilidad: 1/1000
56330 -> 1, Probabilidad: 1/1000
56550 -> 2, Probabilidad: 2/1000
56810 -> 2, Probabilidad: 2/1000
57150 -> 1, Probabilidad: 1/1000
57490 -> 1, Probabilidad: 1/1000
57320 -> 1, Probabilidad: 1/1000
56880 -> 3, Probabilidad: 3/1000
55820 -> 1, Probabilidad: 1/1000
54670 -> 1, Probabilidad: 1/1000
52000 -> 1, Probabilidad: 1/1000
52030 -> 1, Probabilidad: 1/1000
54880 -> 1, Probabilidad: 1/1000
52480 -> 1, Probabilidad: 1/1000
49960 -> 1, Probabilidad: 1/1000
48020 -> 1, Probabilidad: 1/1000
48700 -> 1, Probabilidad: 1/1000
47110 -> 2, Probabilidad: 2/1000
47940 -> 1, Probabilidad: 1/1000
50180 -> 2, Probabilidad: 2/1000
50860 -> 1, Probabilidad: 1/1000
49440 -> 1, Probabilidad: 1/1000
50050 -> 1, Probabilidad: 1/1000
48720 -> 1, Probabilidad: 1/1000
50470 -> 1, Probabilidad: 1/1000
50390 -> 1, Probabilidad: 1/1000
48990 -> 1, Probabilidad: 1/1000
49480 -> 1, Probabilidad: 1/1000
46450 -> 1, Probabilidad: 1/1000
45500 -> 1, Probabilidad: 1/1000
46390 -> 1, Probabilidad: 1/1000
45900 -> 1, Probabilidad: 1/1000
47650 -> 1, Probabilidad: 1/1000
45630 -> 1, Probabilidad: 1/1000
47700 -> 1, Probabilidad: 1/1000
47750 -> 1, Probabilidad: 1/1000
47420 -> 1, Probabilidad: 1/1000
47040 -> 1, Probabilidad: 1/1000
46800 -> 1, Probabilidad: 1/1000
44760 -> 1, Probabilidad: 1/1000
45080 -> 1, Probabilidad: 1/1000
44180 -> 1, Probabilidad: 1/1000
43140 -> 1, Probabilidad: 1/1000
45210 -> 1, Probabilidad: 1/1000
46220 -> 1, Probabilidad: 1/1000
46200 -> 1, Probabilidad: 1/1000
47370 -> 1, Probabilidad: 1/1000
47850 -> 1, Probabilidad: 1/1000
48570 -> 1, Probabilidad: 1/1000
